product_id,recall_id,source_agency,external_id,name,brand,model_number,upc,lot_codes,category,model_year
251229,87012,FDA,D-0640-2026,"Med Pride, HYDROCORTISONE CREAM 1%, Net Wt. 1 oz (28.3g) tubes, Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC 3 52410 30503 0.",,,,"Lot# 001, 002, 013, 016, 031, 032, 033, 045, 046, 047, Within Expiry.",drug,
251259,87042,FDA,D-0633-2026,"Rapidol, Triple Antibiotic First Aid Ointment, Bacitracin Zinc 400 units, Neomycin Sulfate 3.5 mg, Polymyxin-B Sulfate 5,000 units, net wt. 2oz (57g) tubes, Distributed by/por: Pharmadel LLC, New Castle, DE 19720, Made in India, UPC 8 10096 77162 9.",,,,"Lot# 0004, within expiry",drug,
251265,87048,FDA,D-0641-2026,"Med Pride, Triple Antibiotic Ointment, Bacitracin Zinc (equivalent to 400 units), Neomycin Sulfate 5 mg, Polymixin B 5000 units, 0.9g packets, 144 packets per box, 130g, Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC 1 03 52410 30253 1.",,,,"Lot# 011, 014, 015, 016, 017, 018, 019, 020, 021, 022, 026, Within Expiry.",drug,
251272,87055,FDA,D-0630-2026,"Lucky Super Soft, First Aid Triple Antibiotic Ointment, Bacitracin zinc 400 units, neomycin sulphate 3.5 mg, polymyxin B sulphate 5000 units, Net Wt. 0.5 oz (14g) tubes, Manufactured for Delta Brands Inc., 580 White Plains Rd., Tarrytown, NY 10591 USA, Made in India, UPC 8 08829 10372 4.",,,,"Lot# 0002, Lot# 0003, within expiry",drug,
251278,87061,FDA,D-0637-2026,"Med Pride, Bacitracin Zinc Ointment, 1oz (28.3g) per tube, 72 tubes per case, Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC X004WB4LKT.",,,,"Lot# 022, 023 ,024, Within Expiry.",drug,
251336,87119,FDA,D-0629-2026,"Lucky Super Soft, Antifungal Athlete's Foot Cream, Clotrimazole 1% Cream, Net Wt. 1.5 oz (42.5g) Tubes, Manufactured for Delta Brands Inc., 580 White Plains Rd., Tarrytown, NY 10591 USA, Made in India, UPC 8 08829 10461 5.",,,,"Lot# 0001, 0002, within expiry",drug,
251340,87123,FDA,D-0639-2026,"Med Pride, HYDROCORTISONE CREAM 1%, Net Wt. 16oz (454g) tubes, Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC 3 52410 305061.",,,,"Lot# 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 014, 015, 017, 018, 019, 020, 021, 022, 023, 024, 025, 026, 027, 028, 029, 030, 034, 035, 036, 037, 038, 039, 041, 042, 043, 044, 048, 049, 050, 051, 052, 053, 054, 055, 056, 057, 058, 059, 060, 061, 062, 063, 064, Within Expiry.",drug,
251366,87149,FDA,D-0636-2026,"Med Pride, Bacitracin Zinc Ointment, 500 units, 1oz (28.3g) tubes, Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC 3 52410 30354 8.",,,,"Lot# 001, 002, 003, 004, 005, 006, 010, 011, 012, 013, 014, 016, 017, 018, 019, 020, Within Expiry.",drug,
251423,87206,FDA,D-0618-2026,"Total Parental Nutrition - Pediatric PN Patient-Specific TPN Bag, (patient specific), Rx# 24-1269856-0-1Compound Volume 1295 mL per bag, Rx only, Single Dose Injection, Refrigerated Injection, Central Admixture Pharmacy Services, Boston, 55 6th Rd Woburn, Massachusetts 01801-1767.",,,,24-1269856-0-1,drug,
251443,87226,FDA,D-0632-2026,"Lil Drug Store, Triple Antibiotic Ointment, Bacitracin Zinc (400 units), Neomycin Sulfate (3.5 mg), Polymyxin-B Sulfate (5000 units), net wt. 0.5 oz (14.2g), Product distributed by: Lil' Drug Store Products, Inc., 9300 Earhart Lane SW, Cedar Rapids, IA 52404, Made in India, UPC 3 66715 97310 8.",,,,"Lot# 0005, within expiry",drug,
